"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\quant\Desktop\Gachon stuff\WebDB\itAPI\src\app.js", "JavaScript", 21, 0, 0, 8, 29
"c:\Users\quant\Desktop\Gachon stuff\WebDB\itAPI\src\config\apiConfig.js", "JavaScript", 4, 0, 1, 0, 5
"c:\Users\quant\Desktop\Gachon stuff\WebDB\itAPI\src\config\dbConfig.js", "JavaScript", 13, 0, 0, 0, 13
"c:\Users\quant\Desktop\Gachon stuff\WebDB\itAPI\src\config\jwtConfig.js", "JavaScript", 3, 0, 0, 0, 3
"c:\Users\quant\Desktop\Gachon stuff\WebDB\itAPI\src\controllers\itineraryController.js", "JavaScript", 24, 0, 0, 4, 28
"c:\Users\quant\Desktop\Gachon stuff\WebDB\itAPI\src\controllers\quizController.js", "JavaScript", 18, 0, 1, 3, 22
"c:\Users\quant\Desktop\Gachon stuff\WebDB\itAPI\src\controllers\userController.js", "JavaScript", 42, 0, 0, 5, 47
"c:\Users\quant\Desktop\Gachon stuff\WebDB\itAPI\src\middleware\authMiddleware.js", "JavaScript", 15, 0, 0, 7, 22
"c:\Users\quant\Desktop\Gachon stuff\WebDB\itAPI\src\middleware\mapMiddleware.js", "JavaScript", 0, 0, 1, 0, 1
"c:\Users\quant\Desktop\Gachon stuff\WebDB\itAPI\src\models\Comment.js", "JavaScript", 25, 0, 0, 2, 27
"c:\Users\quant\Desktop\Gachon stuff\WebDB\itAPI\src\models\Itinerary.js", "JavaScript", 30, 0, 0, 2, 32
"c:\Users\quant\Desktop\Gachon stuff\WebDB\itAPI\src\models\Place.js", "JavaScript", 47, 0, 0, 3, 50
"c:\Users\quant\Desktop\Gachon stuff\WebDB\itAPI\src\models\Question.js", "JavaScript", 20, 0, 0, 1, 21
"c:\Users\quant\Desktop\Gachon stuff\WebDB\itAPI\src\models\Quiz.js", "JavaScript", 16, 0, 0, 2, 18
"c:\Users\quant\Desktop\Gachon stuff\WebDB\itAPI\src\models\User.js", "JavaScript", 20, 0, 6, 0, 26
"c:\Users\quant\Desktop\Gachon stuff\WebDB\itAPI\src\models\index.js", "JavaScript", 23, 0, 6, 8, 37
"c:\Users\quant\Desktop\Gachon stuff\WebDB\itAPI\src\package-lock.json", "JSON", 0, 1895, 0, 1, 1896
"c:\Users\quant\Desktop\Gachon stuff\WebDB\itAPI\src\package.json", "JSON", 0, 28, 0, 1, 29
"c:\Users\quant\Desktop\Gachon stuff\WebDB\itAPI\src\routes\index.js", "JavaScript", 0, 0, 1, 0, 1
"c:\Users\quant\Desktop\Gachon stuff\WebDB\itAPI\src\routes\itineraryRoutes.js", "JavaScript", 5, 0, 0, 1, 6
"c:\Users\quant\Desktop\Gachon stuff\WebDB\itAPI\src\routes\quizRoutes.js", "JavaScript", 6, 0, 0, 2, 8
"c:\Users\quant\Desktop\Gachon stuff\WebDB\itAPI\src\routes\userRoutes.js", "JavaScript", 8, 0, 0, 2, 10
"c:\Users\quant\Desktop\Gachon stuff\WebDB\itAPI\src\server.js", "JavaScript", 2, 0, 0, 3, 5
"c:\Users\quant\Desktop\Gachon stuff\WebDB\itAPI\src\services\TEST.js", "JavaScript", 29, 0, 0, 5, 34
"c:\Users\quant\Desktop\Gachon stuff\WebDB\itAPI\src\services\authServices.js", "JavaScript", 94, 0, 0, 10, 104
"c:\Users\quant\Desktop\Gachon stuff\WebDB\itAPI\src\services\mapService.js", "JavaScript", 118, 0, 8, 13, 139
"c:\Users\quant\Desktop\Gachon stuff\WebDB\itAPI\src\services\promptService.js", "JavaScript", 51, 0, 1, 9, 61
"c:\Users\quant\Desktop\Gachon stuff\WebDB\itAPI\src\services\quizService.js", "JavaScript", 20, 0, 3, 3, 26
"Total", "-", 654, 1923, 28, 95, 2700
